Name,Diameter,Length,Voltage,Current,Thrust,Weight
EmaxGT2820 ,35,43.5,4S,41,2300,140
EmaxGT2826,35,49.5,4S,47,3100,175
SUNNYSKY X3520,42.5,,4S,32,2400,210
FT Power Pack C Radial v.2,27.5,,3S-4S,40,1730,76
T-Motor AS2820,36.2,,3S-4S,44,2731,136
QX-Motor QA2825,35,,4S,31,3056,170
T-Motor AS2814,36,,3S-4S,48,2474,112
T-Motor F100 2810 1350KV,33,,5S-6S,62,2468,67
